Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-5.5511E-17,0,-0.0025,0,0,0,0.5,0.0027593,3.2016E-20,5.1244E-22,0.0042374,-1.2762E-21,0.006995,0,0,0,0,0,0,package://beebot/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://beebot/meshes/base_link.STL,,base_hex_20-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rmotor,0.027211,0,0,0,0,0,0.75,7.1598E-06,-4.0968E-38,2.5362E-22,2.4995E-05,-9.4953E-39,2.4995E-05,0,0,0,0,0,0,package://beebot/meshes/rmotor.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://beebot/meshes/rmotor.STL,,johnson_motorR-1,Origin_base_to_rmotor2,,base_to_rmotor,fixed,0,-0.10821,0.0185,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
rwheel,-0.032363,0,-5.5511E-17,0,0,0,0.35,0.00044184,3.3923E-21,4.7782E-19,0.0002819,-2.7105E-20,0.0002819,0,0,0,0,0,0,package://beebot/meshes/rwheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://beebot/meshes/rwheel.STL,,wheelR-1,Origin_rmotor_to_rwheel2,Axis_rmotor_to_rwheel2,rmotor_to_rwheel,continuous,-0.01,0,0,-0.59281,0,0,rmotor,1,0,0,,,,,,,,,,,,
lmotor,0.027211,0,6.1062E-16,0,0,0,0.75,7.1598E-06,4.5955E-36,-3.9079E-19,2.4995E-05,-9.5046E-36,2.4995E-05,0,0,0,0,0,0,package://beebot/meshes/lmotor.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://beebot/meshes/lmotor.STL,,johnson_motorL-1,Origin_base_to_lmotor2,,base_to_lmotor,fixed,0,0.10821,0.0185,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
lwheel,-0.032363,-5.3846E-15,-6.3283E-15,0,0,0,0.35,0.00044184,-2.0982E-20,2.1683E-18,0.0002819,-2.7105E-20,0.0002819,0,0,0,0,0,0,package://beebot/meshes/lwheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://beebot/meshes/lwheel.STL,,wheelL-1,Origin_lmotor_to_lwheel,Axis_lmotor_to_lwheel2,lmotor_to_lwheel,continuous,-0.01,0,0,-2.6739,0,0,lmotor,1,0,0,,,,,,,,,,,,
stud1,2.7756E-17,0.125,0,0,0,0,0.25,5.014E-05,-8.1342E-39,9.9568E-57,5.8929E-08,-1.7467E-38,5.014E-05,0,0,0,0,0,0,package://beebot/meshes/stud1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://beebot/meshes/stud1.STL,,studs_1-1,Origin_base_to_stud12,Axis_base_to_stud12,base_to_stud1,fixed,0.076513,0.076513,0,1.5708,0,1.5708,base_link,0,1,0,,,,,,,,,,,,
stud2,0,0.125,0,0,0,0,0.25,5.014E-05,-8.1342E-39,9.9568E-57,5.8929E-08,-1.7467E-38,5.014E-05,0,0,0,0,0,0,package://beebot/meshes/stud2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://beebot/meshes/stud2.STL,,studs_2-1,Origin_base_to_stud22,Axis_base_to_stud22,base_to_stud2,fixed,0.076513,-0.076513,0,1.5708,0,1.5708,base_link,0,1,0,,,,,,,,,,,,
stud3,-2.7756E-17,0.125,2.7756E-17,0,0,0,0.25,5.014E-05,-8.1342E-39,9.9568E-57,5.8929E-08,-1.7467E-38,5.014E-05,0,0,0,0,0,0,package://beebot/meshes/stud3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://beebot/meshes/stud3.STL,,studs_3-1,Origin_base_to_stud32,Axis_base_to_stud32,base_to_stud3,fixed,-0.076513,0.076513,0,1.5708,0,1.5708,base_link,0,1,0,,,,,,,,,,,,
stud4,0,0.125,-2.7756E-17,0,0,0,0.25,5.014E-05,-8.1342E-39,9.9568E-57,5.8929E-08,-1.7467E-38,5.014E-05,0,0,0,0,0,0,package://beebot/meshes/stud4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://beebot/meshes/stud4.STL,,studs_4-1,Origin_base_to_stud42,Axis_base_to_stud42,base_to_stud4,fixed,-0.076513,-0.076513,0,1.5708,0,1.5708,base_link,0,1,0,,,,,,,,,,,,
front_caster,0,-0.011703,0,0,0,0,0.1,5.1632E-07,4.5981E-23,4.1322E-23,3.4296E-07,-6.2946E-23,5.1632E-07,0,0,0,0,0,0,package://beebot/meshes/front_caster.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://beebot/meshes/front_caster.STL,,caster_wheel_front-1,Origin_base_to_front_caster2,Axis_base_to_front_caster2,base_to_front_caster,fixed,0.17321,0,-0.005,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
back_caster,0,-0.011703,0,0,0,0,0.1,5.1632E-07,4.8294E-23,1.3972E-22,3.4296E-07,3.104E-23,5.1632E-07,0,0,0,0,0,0,package://beebot/meshes/back_caster.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://beebot/meshes/back_caster.STL,,caster_wheel_back-1,Origin_base_to_back_caster2,Axis_base_to_back_caster2,base_to_back_caster,fixed,-0.17321,0,-0.005,1.5708,0,1.5708,base_link,0,1,0,,,,,,,,,,,,
level2,-1.1102E-16,0.0025,-1.1102E-16,0,0,0,0.25,0.0043312,1.3524E-21,3.1983E-18,0.0086603,-4.2477E-21,0.0043312,0,0,0,0,0,0,package://beebot/meshes/level2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://beebot/meshes/level2.STL,,level2_plate-1,Origin_base_to_level22,Axis_base_to_level22,base_to_level2,fixed,0,0,0.12811,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
level3,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,package://beebot/meshes/level3.STL,1,1,1,1,0,0,0,0,0,0,package://beebot/meshes/level3.STL,,level2_plate-2,Origin_base_to_level32,,base_to_level3,fixed,0,0,0.245,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
